focal_mm,fov_w_deg,fov_h_deg,omega_sr,sky_fraction_pct,zhr,limiting_mag,rate_per_hour_in_frame,P_at_least_one_totality_pct
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,10,0.0,0.0014726330171596876,0.00287461069130579
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,10,2.0,0.007127543803052891,0.013912347866817942
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,10,3.0,0.015680596366716357,0.03060461042551088
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,10,4.0,0.03449731200677599,0.0673177795116442
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,20,0.0,0.0029452660343193752,0.005749138748745164
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,20,2.0,0.014255087606105782,0.0278227601994141
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,20,3.0,0.03136119273343271,0.06119985442923914
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,20,4.0,0.06899462401355198,0.13459024218889226
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,43,0.0,0.006332321973786657,0.012360239698250286
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,43,2.0,0.03064843835312743,0.05980936467662179
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,43,3.0,0.06742656437688034,0.13153338565817796
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,43,4.0,0.14833844162913676,0.28914509486274165
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,100,0.0,0.01472633017159688,0.02874238867409673
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,100,2.0,0.07127543803052891,0.13903641193330207
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,100,3.0,0.1568059636671636,0.30562495907713316
16,69.7433527463864,49.93572814133121,0.9749743930328327,15.51719940391957,100,4.0,0.34497312006775993,0.671142194014418
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,10,0.0,0.0007566442373387358,0.001476995822191629
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,10,2.0,0.003662158108719483,0.00714845705824807
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,10,3.0,0.008056747839182862,0.015725931005572402
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,10,4.0,0.017724845246202298,0.03459378382171252
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,20,0.0,0.0015132884746774716,0.002953969829211367
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,20,2.0,0.007324316217438966,0.014296403112112888
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,20,3.0,0.016113495678365723,0.03144938896207927
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,20,4.0,0.035449690492404595,0.06917560034463976
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,43,0.0,0.0032535702205565642,0.006350927258558237
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,43,2.0,0.015747279867493774,0.03073473997304843
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,43,3.0,0.034644015708486305,0.06760395915623718
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,43,4.0,0.07621683455866987,0.1486683849651338
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,100,0.0,0.007566442373387361,0.014768976578050097
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,100,2.0,0.03662158108719483,0.0714615797681395
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,100,3.0,0.08056747839182862,0.15714806950434257
24,49.83759112172605,34.49042758228872,0.5009454137215842,7.972793881300469,100,4.0,0.17724845246202298,0.345399806263913
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,10,0.0,0.0003820620050508881,0.000745801025814341
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,10,2.0,0.001849180104446299,0.0036096252769457493
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,10,3.0,0.004068196229781858,0.007941003621692033
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,10,4.0,0.00895003170552009,0.017469375586232072
