tt_jd,utc,seconds_from_max,sun_alt_geom_deg,sun_alt_refr_deg,sun_az_deg,airmass_rel,airmass_abs,sep_arcsec,r_sun_arcsec,r_moon_arcsec,magnitude,obsc_geometric,obsc_flux_550nm,transmission,dni_extra,dni_clear_noeclipse,ghi_clear_noeclipse,dhi_clear_noeclipse,dni_eclipsed,ghi_eclipsed_firstorder
2461265.2264951854,2026-08-12T17:25:00.0Z,-3899.877619743347,16.606790903343857,16.65500475214855,275.3498944953251,3.4523848897523313,3.207551152094629,2283.553752147551,946.6577675937497,981.1713469832422,0.0,0.0,0.0,1.0,1325.359843155576,441.771245974148,191.09080671246667,64.47552798197596,441.771245974148,191.09080671246667
2461265.2265067594,2026-08-12T17:25:01.0Z,-3898.87762516737,16.60366750555254,16.65189057297503,275.3525500266109,3.4529975123536456,3.2081203291688536,2282.990748838398,946.6577673546292,981.1703707130225,0.0,0.0,0.0,1.0,1325.3598424860243,441.6987899663805,191.03639220398603,64.46488049591609,441.6987899663805,191.03639220398603
2461265.2265183334,2026-08-12T17:25:02.0Z,-3897.8776305913925,16.600544121306363,16.64877641047595,275.355205532173,3.4536103562844205,3.2086897118764552,2282.42773401496,946.6577671154845,981.1693944342672,0.0,0.0,0.0,1.0,1325.3598418164036,441.6263196717581,190.98197939203993,64.4542315043674,441.6263196717581,190.98197939203993
2461265.2265299074,2026-08-12T17:25:03.0Z,-3896.877636015415,16.597420750611892,16.645662264659475,275.35786101202854,3.4542234216595538,3.2092593003241845,2281.8647077127625,946.6577668763156,981.1684181469974,0.0,0.0,0.0,1.0,1325.359841146715,441.5538350876297,190.92756827801972,64.44358100699081,441.5538350876297,190.92756827801972
2461265.226541482,2026-08-12T17:25:04.0Z,-3895.8776012063026,16.59429726781364,16.642548010243054,275.3605165730313,3.454836733272929,3.20982911754761,2281.3016472700238,946.6577666371124,981.1674418120543,0.0,0.0,0.0,1.0,1325.3598404769325,441.4813332942013,190.8731566742907,64.43292857485334,441.4813332942013,190.8731566742907
2461265.226553056,2026-08-12T17:25:05.0Z,-3894.8776066303253,16.5911739242428,16.639433897816943,275.36317200152416,3.4554502418907393,3.2103991178044526,2280.7385979769156,946.6577663978951,981.1664655078387,0.0,0.0,0.0,1.0,1325.3598398071083,441.4088201225304,190.81874896036354,64.42227506474194,441.4088201225304,190.81874896036354
2461265.22656463,2026-08-12T17:25:06.0Z,-3893.877612054348,16.588050594243356,16.63631980209794,275.3658274043619,3.456063972298099,3.210969324122133,2280.1755371755953,946.6577661586538,981.1654891951196,0.0,0.0,0.0,1.0,1325.3598391372182,441.33629265340085,190.76434294853772,64.41162004778448,441.33629265340085,190.76434294853772
2461265.226576204,2026-08-12T17:25:07.0Z,-3892.8776174783707,16.584927277822842,16.633205723095177,275.3684827815608,3.456677924610038,3.211539736607524,2279.6124648997907,946.6577659193882,981.1645128739837,0.0,0.0,0.0,1.0,1325.3598384672598,441.2637508841837,190.70993864022245,64.40096352364468,441.2637508841837,190.70993864022245
2461265.226587778,2026-08-12T17:25:08.0Z,-3891.8776229023933,16.58180397498592,16.63009166081493,275.37113813313954,3.457292098942219,3.2121103553680865,2279.049381103967,946.6577656800985,981.1635365443371,0.0,0.0,0.0,1.0,1325.3598377972335,441.1911948121858,190.65553603677884,64.39030549197665,441.1911948121858,190.65553603677884
2461265.226599352,2026-08-12T17:25:09.0Z,-3890.877628326416,16.578680685740053,16.626977615266266,275.37379345911467,3.4579064954098424,3.21268118051085,2278.4862858452166,946.6577654407848,981.1625602062189,0.0,0.0,0.0,1.0,1325.35983712714,441.11862443477906,190.60113513961684,64.37964595244395,441.11862443477906,190.60113513961684
2461265.226610926,2026-08-12T17:25:10.0Z,-3889.8776337504387,16.575557410091864,16.62386358645742,275.3764487595031,3.458521114128353,3.2132522121430735,2277.9231790748554,946.6577652014469,981.1615838596773,0.0,0.0,0.0,1.0,1325.3598364569789,441.04603974931507,190.546735950132,64.36898490470723,441.04603974931507,190.546735950132
2461265.2266225,2026-08-12T17:25:11.0Z,-3888.8776391744614,16.572434148048842,16.620749574397486,275.37910403432124,3.4591359552130982,3.213823450371923,2277.360060807691,946.6577649620848,981.1606075046282,0.0,0.0,0.0,1.0,1325.35983578675,440.97344075316727,190.49233846973604,64.35832234843,440.97344075316727,190.49233846973604
2461265.2266340745,2026-08-12T17:25:12.0Z,-3887.877604365349,16.569310773957046,16.617635453806486,275.3817593904169,3.4597510435306336,3.2143949183004863,2276.79690839073,946.6577647226893,981.159631101887,0.0,0.0,0.0,1.0,1325.3598351164276,440.90082452187613,190.43794051130033,64.34765785418435,440.90082452187613,190.43794051130033
2461265.2266456485,2026-08-12T17:25:13.0Z,-3886.8776097893715,16.566187539141765,16.61452147526675,275.3844146141472,3.4603663297042786,3.214966570053743,2276.2337671454975,946.6577644832794,981.158654729961,0.0,0.0,0.0,1.0,1325.3598344460645,440.82819689577514,190.38354645329062,64.33699227973689,440.82819689577514,190.38354645329062
2461265.2266572225,2026-08-12T17:25:14.0Z,-3885.877615213394,16.563064317951433,16.61140751350054,275.38706981235845,3.4609818385912097,3.2155384287260658,2275.6706144034147,946.6577642438455,981.1576783495257,0.0,0.0,0.0,1.0,1325.3598337756346,440.7555549510501,190.32915410856197,64.3263251957303,440.7555549510501,190.32915410856197
2461265.2266687965,2026-08-12T17:25:15.0Z,-3884.877620637417,16.55994111039056,16.608293568513997,275.38972498506956,3.461597570307687,3.21611049442547,2275.10745014222,946.6577640043871,981.1567019607578,0.0,0.0,0.0,1.0,1325.359833105136,440.68289868500534,190.27476347847573,64.31565660181766,440.68289868500534,190.27476347847573
2461265.2266803705,2026-08-12T17:25:16.0Z,-3883.8776260614395,16.5568179164668,16.605179640316376,275.39238013229664,3.4622135249694246,3.216682767259463,2274.5442744125903,946.6577637649049,981.1557255634912,0.0,0.0,0.0,1.0,1325.359832434571,440.61022809502003,190.22037456444954,64.304986497663,440.61022809502003,190.22037456444954
2461265.2266919445,2026-08-12T17:25:17.0Z,-3882.877631485462,16.55369473618654,16.60206572891568,275.39503525405706,3.462829702692461,3.2172552473358547,2273.9810871765176,946.657763525399,981.1547491578131,0.0,0.0,0.0,1.0,1325.3598317639398,440.53754317844476,190.1659873678797,64.2943148829259,440.53754317844476,190.1659873678797
2461265.2267035185,2026-08-12T17:25:18.0Z,-3881.877636909485,16.550571569556553,16.598951834320307,275.3976903503677,3.4634461035928386,3.2178279347624588,2273.4178884523326,946.6577632858684,981.1537727436611,0.0,0.0,0.0,1.0,1325.359831093239,440.4648439326377,190.11160189016914,64.2836417572671,440.4648439326377,190.11160189016914
2461265.226715093,2026-08-12T17:25:19.0Z,-3880.8776021003723,16.547448290929477,16.595837831257743,275.400345528067,3.4640627525999372,3.218400852700731,2272.854655561825,946.6577630463048,981.1527962818417,0.0,0.0,0.0,1.0,1325.3598304224458,440.39212742917204,190.05721594472473,64.27296669084245,440.39212742917204,190.05721594472473
2461265.226726667,2026-08-12T17:25:20.0Z,-3879.877607524395,16.544325151620036,16.592723970297993,275.40300057352863,3.464679600212616,3.218973955160015,2272.291433841864,946.6577628067269,981.1518198508777,0.0,0.0,0.0,1.0,1325.3598297516123,440.3193995163858,190.002833909,64.26229054225911,440.3193995163858,190.002833909
2461265.226738241,2026-08-12T17:25:21.0Z,-3878.8776129484177,16.541202025980525,16.589610126168076,275.40565559359186,3.4652966713513824,3.2195472652935258,2271.7282006477517,946.6577625671243,981.1508434114397,0.0,0.0,0.0,1.0,1325.3598290807104,440.246657266433,189.94845359633678,64.25161288173408,440.246657266433,189.94845359633678
2461265.226749815,2026-08-12T17:25:22.0Z,-3877.8776183724403,16.53807891401839,16.58649629887706,275.408310588273,3.465913966132472,3.220120783209255,2271.1649559340544,946.6577623274984,981.1498669636567,0.0,0.0,0.0,1.0,1325.3598284097432,440.17390067669095,189.89407500815256,64.24093370893041,440.17390067669095,189.89407500815256
2461265.226761389,2026-08-12T17:25:23.0Z,-3876.877623796463,16.534955815738297,16.583382488431237,275.410965557591,3.4665314846727346,3.2206945090157664,2270.601699740503,946.6577620878484,981.1488905074254,0.0,0.0,0.0,1.0,1325.3598277387075,440.10112974447156,189.83969814581727,64.23025302350166,440.10112974447156,189.83969814581727
